zip,city,county,SPCS83_Code
78067,San Ygnacio,Zapata,4205
78069,Somerset,Atascosa,4204
78070,Spring Branch,Comal,4204
78071,Three Rivers,Live Oak,4204
78072,Tilden,McMullen,4204
78073,Von Ormy,Bexar,4204
78074,Waring,Kendall,4204
78075,Whitsett,Live Oak,4204
78076,Zapata,Zapata,4205
78101,Adkins,Wilson,4204
78102,Beeville,Bee,4204
78104,Beeville,Bee,4204
78107,Berclair,Goliad,4204
78108,Cibolo,Guadalupe,4204
78109,Converse,Bexar,4204
78111,Ecleto,Karnes,4204
78112,Elmendorf,Bexar,4204
78113,Falls City,Wilson,4204
78114,Floresville,Wilson,4204
78115,Geronimo,Guadalupe,4204
78116,Gillett,Karnes,4204
78117,Hobson,Karnes,4204
78118,Karnes City,Karnes,4204
78119,Kenedy,Karnes,4204
78121,La Vernia,Wilson,4204
78122,Leesville,Gonzales,4204
78123,Mc Queeney,Guadalupe,4204
78124,Marion,Guadalupe,4204
78125,Mineral,Bee,4204
78130,New Braunfels,Comal,4204
78131,New Braunfels,Comal,4204
78132,New Braunfels,Comal,4204
78133,Canyon Lake,Comal,4204
78135,New Braunfels,Comal,4204
78140,Nixon,Gonzales,4204
78141,Nordheim,DeWitt,4204
78142,Normanna,Bee,4204
78143,Pandora,Wilson,4204
78144,Panna Maria,Karnes,4204
78145,Pawnee,Bee,4204
78146,Pettus,Bee,4204
78147,Poth,Wilson,4204
78148,Universal City,Bexar,4204
78150,Jbsa Randolph,Bexar,4204
78151,Runge,Karnes,4204
78152,Saint Hedwig,Bexar,4204
78154,Schertz,Guadalupe,4204
78155,Seguin,Guadalupe,4204
78156,Seguin,Guadalupe,4204
78159,Smiley,Gonzales,4204
78160,Stockdale,Wilson,4204
78161,Sutherland Springs,Wilson,4204
78162,Tuleta,Bee,4204
78163,Bulverde,Comal,4204
78164,Yorktown,DeWitt,4204
78201,San Antonio,Bexar,4204
78202,San Antonio,Bexar,4204
78203,San Antonio,Bexar,4204
78204,San Antonio,Bexar,4204
78205,San Antonio,Bexar,4204
78206,San Antonio,Bexar,4204
78207,San Antonio,Bexar,4204
78208,San Antonio,Bexar,4204
78209,San Antonio,Bexar,4204
78210,San Antonio,Bexar,4204
